transaction_id,amount,timestamp,user_id,merchant,status
TXN001,150.75,2023-09-01 10:15:23,1001,Amazon,completed
TXN002,89.99,2023-09-01 10:30:45,1002,Starbucks,completed
TXN003,2500.00,2023-09-01 11:00:12,1003,Electronics Store,completed
TXN004,-50.00,2023-09-01 11:15:33,1004,Bank Transfer,completed
TXN005,25.50,2023-09-01 11:30:01,1005,Grocery Store,completed
TXN006,120.00,2023-09-01 12:00:15,1006,Restaurant,completed
TXN007,75.25,2023-09-01 12:15:30,1007,Online Service,completed
TXN008,5000.00,2023-09-01 12:30:45,1008,Car Dealer,completed
TXN009,15.99,2023-09-01 13:00:12,1009,Coffee Shop,completed
TXN010,-200.00,2023-09-01 13:15:33,1010,Refund,completed
TXN011,95.00,2023-09-01 13:30:01,1011,Bookstore,completed
TXN012,180.50,2023-09-01 14:00:15,1012,Department Store,completed
TXN013,45.75,2023-09-01 14:15:30,1013,Pharmacy,completed
TXN014,3200.00,2023-09-01 14:30:45,1014,Furniture Store,completed
TXN015,8.99,2023-09-01 15:00:12,1015,Newsstand,completed
